0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
3,5,6,44,0,0,0,11,8,10,12,44,0,0,0,0
6,8,10,48,2,3,3,11,13,16,20,35,0,0,0,5
10,13,16,42,19,23,29,27,4,6,7,24,0,0,0,5
13,16,22,40,23,29,37,27,6,9,10,23,1,2,2,8
17,22,30,34,10,13,17,27,30,37,47,23,3,4,5,14
12,16,20,26,34,43,55,24,3,5,6,14,19,26,35,34
40,51,64,22,23,31,42,30,14,20,25,30,5,7,9,16
26,35,48,31,16,22,28,30,45,57,73,22,5,8,10,15
29,39,53,30,49,63,82,22,17,24,31,30,6,8,11,15
54,70,91,22,32,44,60,29,20,28,36,30,7,10,13,16
23,32,42,31,36,49,69,27,9,13,17,19,60,78,101,21
88,104,114,6,31,42,57,40,50,70,99,25,12,18,23,27
40,56,78,29,25,35,46,31,68,89,116,22,8,13,17,16
42,59,83,28,27,38,50,31,71,94,116,24,9,14,19,15
42,60,85,28,27,38,51,29,9,14,19,14,72,96,113,26
29,41,55,30,45,64,92,27,9,15,20,14,76,100,108,26
11,17,23,16,49,71,101,29,32,45,61,30,83,106,99,23
12,18,25,17,34,48,64,29,86,109,92,22,52,75,103,30
88,110,84,23,54,78,106,30,35,49,66,29,11,18,25,16
36,50,67,28,11,19,26,15,90,110,75,23,55,80,107,31
37,50,67,27,57,83,107,33,92,108,67,23,11,19,26,15
38,53,71,25,13,20,27,16,60,86,108,34,94,106,57,23
62,89,107,36,38,53,72,23,96,102,47,23,14,20,27,16
98,98,37,23,39,55,75,23,65,92,107,37,15,20,27,16
52,77,103,38,83,111,82,19,104,87,20,17,20,28,38,24
37,55,75,20,67,95,103,40,102,89,21,23,15,18,24,15
53,79,104,36,84,112,77,21,20,26,36,22,107,77,10,19
53,79,104,35,84,112,76,22,19,25,35,21,108,71,8,20
37,56,77,17,15,16,22,14,70,100,99,42,106,73,11,25
54,81,104,36,86,114,69,22,18,24,34,19,109,62,5,20
109,60,5,20,86,114,67,22,55,82,104,36,19,25,35,20
19,25,35,20,109,58,5,20,56,83,104,37,87,114,64,21
87,114,63,21,110,57,4,20,56,83,104,38,19,25,35,19
57,84,105,38,87,114,59,21,110,55,4,20,19,26,36,20
110,55,4,20,19,26,36,20,57,84,105,38,87,114,59,21
106,69,9,26,39,59,82,18,72,102,97,39,16,17,24,14
110,57,4,21,57,84,104,38,87,114,59,21,19,25,35,19
88,113,49,20,111,54,4,19,60,88,104,39,20,27,38,20
111,57,4,20,60,88,104,38,87,114,52,20,20,27,37,20
109,61,5,22,57,84,104,36,19,25,35,19,85,115,62,22
57,84,103,36,109,62,5,22,19,24,34,18,85,115,62,22
19,24,34,18,84,115,64,23,56,84,104,35,109,63,5,22
109,62,5,22,85,115,62,23,57,85,104,36,19,24,34,18
110,60,4,21,58,87,104,36,19,25,36,19,85,115,59,22
19,24,34,18,84,115,63,24,56,85,104,35,109,60,5,22
19,25,35,18,58,87,104,36,110,49,4,21,86,114,56,24
111,45,3,20,19,25,35,18,87,111,43,23,60,90,103,38
109,52,4,22,59,89,103,34,84,114,50,25,18,24,34,17
84,114,49,25,19,24,34,17,60,92,101,35,110,53,4,21
57,89,102,33,18,22,31,16,83,115,54,27,109,58,4,22
18,21,29,15,109,59,5,21,56,89,103,35,83,115,55,27
56,90,104,37,19,22,31,15,83,115,56,25,109,61,5,21
53,86,105,37,18,20,28,13,83,115,62,26,109,63,5,21
82,114,69,27,49,81,103,37,18,17,23,12,108,66,6,22
108,67,6,22,82,114,70,26,50,81,104,37,18,20,28,13
84,114,63,24,53,84,104,39,18,23,32,15,109,64,5,21
51,81,104,37,18,23,32,15,108,67,6,22,83,114,70,25
18,23,32,15,51,81,104,37,108,67,6,21,83,114,70,25
69,101,98,43,106,77,12,26,35,57,79,18,16,13,18,11
106,77,12,26,35,57,79,18,16,13,18,11,69,101,98,43
69,101,98,43,35,56,78,18,16,13,18,11,106,77,12,25
19,25,35,17,109,67,5,20,85,114,68,23,54,82,104,38
106,77,12,25,34,55,77,18,16,13,18,11,69,100,98,44
85,114,67,22,19,26,36,18,54,83,104,38,109,67,5,20
108,69,6,21,19,24,34,17,52,80,103,36,84,113,72,24
105,77,12,25,36,57,80,19,70,101,98,42,16,14,20,11
69,100,98,43,35,56,79,18,17,14,19,11,105,78,12,25
106,75,10,24,40,63,89,23,73,104,94,38,16,17,24,13
84,113,71,24,53,81,104,37,19,24,34,18,108,68,6,20
105,78,12,25,35,56,78,18,69,100,98,43,16,14,20,12
84,113,71,23,108,68,6,20,19,24,34,18,53,81,104,37
108,68,6,20,53,81,104,37,19,24,34,18,84,113,71,23
19,26,37,19,109,65,5,19,56,84,104,39,85,114,64,22
20,26,37,19,109,66,5,19,56,84,105,38,85,114,65,22
70,101,98,42,16,16,22,13,37,58,81,19,105,77,12,25
53,81,104,37,108,68,6,20,19,24,34,18,84,113,71,23
105,78,13,25,69,100,98,43,36,57,79,18,16,15,21,12
84,113,71,23,19,24,34,18,108,68,6,20,53,81,104,37
105,77,13,25,36,57,79,18,69,100,98,43,16,15,21,12
19,25,36,19,56,84,104,39,85,114,64,21,109,65,5,19
19,25,35,19,109,65,6,19,85,113,68,23,54,82,104,37
85,114,64,22,56,84,104,38,19,26,36,19,109,63,5,19
106,74,12,24,37,58,81,18,16,16,22,13,70,101,97,42
16,16,22,13,106,74,12,24,70,101,97,42,37,58,80,18
19,25,36,19,86,114,60,22,56,84,104,38,109,59,5,19
105,75,12,25,71,102,96,40,38,59,82,19,16,16,23,13
85,114,59,23,109,61,5,18,19,25,36,19,56,84,104,37
109,61,5,18,19,25,35,19,56,84,104,37,85,114,59,23
84,114,59,23,57,85,104,37,109,62,5,18,19,25,36,19
55,83,103,35,83,114,64,25,108,65,6,19,19,24,34,19
57,86,104,37,20,26,37,20,84,114,59,24,109,63,5,18
28,52,73,32,18,13,16,14,62,98,103,34,104,79,25,18
63,98,103,34,104,78,24,17,29,53,74,33,18,13,16,14
63,98,103,34,18,13,16,14,104,78,24,17,29,53,74,33
104,78,24,17,63,98,103,34,29,53,74,33,18,13,16,14
62,98,103,35,104,79,25,18,28,52,73,32,18,13,16,13
28,52,73,32,62,98,103,35,18,13,16,13,104,79,25,18
63,98,103,34,104,78,24,17,18,13,16,14,29,53,74,33
29,53,74,33,18,13,16,14,63,98,103,34,104,78,24,17
18,13,16,14,104,78,24,17,63,98,103,34,29,53,74,33
29,53,73,33,104,79,25,18,63,98,103,34,18,13,15,13
29,53,74,33,104,78,25,18,63,98,103,34,18,13,16,14
29,53,74,32,18,13,16,14,104,78,25,18,63,98,103,34
18,13,16,13,63,98,103,34,29,53,74,32,104,78,25,18
104,79,26,18,19,13,15,13,62,98,103,35,29,53,73,32
104,78,24,18,64,99,103,34,29,54,75,33,18,14,16,14
19,14,16,14,104,78,25,18,29,54,75,33,64,99,103,34
29,54,75,32,19,14,16,14,63,99,103,34,104,78,25,18
104,79,26,18,29,53,73,32,62,98,103,35,19,13,15,13
19,13,15,13,63,98,102,35,105,78,25,18,29,53,74,32
29,54,75,32,19,14,16,14,104,77,24,17,63,99,102,35
28,52,72,31,61,97,103,36,104,79,26,18,19,13,14,13
68,102,101,31,18,17,21,16,31,59,81,34,104,76,22,17
102,78,22,18,19,19,25,18,32,62,84,34,71,104,102,28
19,19,25,18,32,62,84,34,102,78,22,18,71,104,102,27
28,51,71,30,61,97,102,37,103,80,26,19,19,13,14,13
104,79,26,18,28,52,72,30,19,13,15,13,60,97,103,37
105,75,22,17,71,104,99,28,33,63,85,35,19,20,26,19
