54,49,47,16,114,113,113,41,90,85,84,26,4,6,13,14
115,114,114,39,5,8,17,16,60,52,47,16,91,87,87,27
54,49,47,16,4,6,13,14,90,85,84,26,114,113,113,41
55,49,47,16,4,6,14,15,90,86,85,27,114,113,113,41
91,87,87,27,61,53,48,16,115,114,114,39,6,9,18,16
54,49,47,16,114,113,113,41,4,6,14,14,89,85,84,27
114,113,113,40,89,85,84,27,54,49,47,16,4,6,14,14
55,49,47,16,90,86,85,27,5,7,14,15,114,113,113,40
89,85,84,26,55,49,46,16,113,112,113,41,4,7,14,15
55,49,46,16,4,7,14,15,113,112,113,41,89,85,84,26
89,85,84,26,113,112,113,41,57,50,46,16,5,7,15,15
113,112,113,41,56,49,46,16,4,6,14,15,89,85,84,26
113,112,113,42,89,85,84,26,56,49,46,16,4,6,14,15
4,6,14,14,114,113,113,42,56,49,46,16,89,85,84,27
114,113,113,42,4,6,14,14,90,85,84,27,56,49,46,16
4,6,14,14,114,113,113,42,56,49,46,16,89,85,84,27
89,85,84,26,56,49,46,16,114,113,113,42,4,6,14,14
5,8,16,15,90,86,86,27,114,113,113,41,60,51,46,16
114,113,113,41,5,8,16,15,90,86,86,27,60,51,46,16
5,8,17,15,90,86,86,27,114,113,113,41,60,52,46,16
5,8,17,15,114,113,113,41,90,86,86,26,60,52,46,16
89,85,84,27,114,113,113,41,4,6,14,14,56,49,46,16
4,6,14,14,55,49,46,16,114,113,113,41,89,85,84,27
89,85,83,27,114,113,113,41,54,48,46,16,4,6,13,14
114,113,113,41,89,85,83,27,54,48,46,16,4,6,13,14
114,113,113,40,89,85,84,27,54,48,46,16,4,6,13,14
69,59,50,16,115,115,115,38,6,10,19,18,96,92,90,26
111,110,110,51,3,4,10,14,88,79,70,21,43,42,46,12
66,56,49,16,114,114,114,40,94,90,87,25,5,9,17,18
2,3,9,14,30,36,48,9,84,73,62,22,110,109,109,54
27,34,46,9,83,72,61,22,110,109,109,54,2,3,8,14
27,34,47,9,110,109,109,54,2,3,8,14,83,71,60,21
6,9,17,19,115,114,114,39,95,90,88,25,68,57,49,15
83,72,61,22,110,109,109,54,27,34,47,9,2,3,8,13
6,9,18,19,116,115,115,37,96,92,90,26,70,59,50,16
69,58,49,16,6,9,17,18,95,91,88,25,115,115,115,39
95,91,88,25,6,9,18,18,115,115,115,40,70,58,49,15
27,35,47,8,84,72,61,22,2,3,8,12,111,110,110,55
2,3,9,12,85,73,62,22,29,36,47,8,111,110,110,56
84,72,61,22,111,110,110,56,28,35,48,8,2,3,9,12
84,72,61,22,27,35,48,8,2,3,9,11,111,110,110,57
70,58,49,15,6,10,20,16,95,91,88,25,115,115,115,41
111,110,110,56,2,3,9,12,85,73,62,22,29,36,48,8
84,72,61,22,27,35,48,8,2,3,9,12,111,110,110,56
116,115,115,40,71,59,49,16,96,92,89,25,7,10,20,17
27,35,48,8,84,72,61,22,2,3,9,12,111,110,110,56
29,36,48,9,85,73,62,22,2,3,9,12,111,110,110,56
2,3,8,12,111,110,110,56,27,35,48,8,84,72,61,22
95,91,89,25,71,59,49,15,116,115,115,40,7,11,20,17
85,73,62,22,29,36,48,9,111,110,110,55,2,3,9,12
116,116,116,39,7,11,20,17,96,92,90,26,71,59,50,16
95,91,88,25,6,10,19,17,69,58,49,16,116,115,115,40
111,110,110,55,84,72,61,22,28,35,48,9,2,3,9,12
84,72,61,22,28,35,48,9,111,110,110,55,2,3,9,12
28,35,48,9,84,72,61,22,2,3,9,12,111,110,110,55
84,72,61,22,111,110,110,55,28,35,48,9,2,3,9,12
96,92,90,26,71,59,50,16,116,116,115,38,7,11,20,17
111,110,110,55,27,35,49,9,2,3,9,12,84,72,60,22
6,10,20,17,115,115,115,40,95,90,87,25,68,57,49,16
7,11,21,17,116,115,115,39,96,92,90,25,71,59,50,16
111,110,110,55,28,35,48,9,2,3,8,12,85,72,60,22
111,110,110,55,85,72,60,22,27,35,48,9,2,3,8,12
2,3,8,12,85,71,59,22,26,34,48,8,111,110,110,55
84,71,59,22,26,34,48,8,2,3,8,12,111,110,110,56
2,3,8,12,27,35,48,8,85,71,59,22,111,110,110,56
111,110,110,56,84,71,59,22,26,34,48,8,2,3,8,12
111,110,110,56,84,71,60,22,26,34,48,8,2,3,8,12
27,35,48,9,2,3,8,12,85,72,60,22,111,110,110,56
112,111,111,55,86,73,62,23,27,34,48,9,2,3,8,12
26,34,48,9,86,73,62,23,112,111,111,54,2,3,8,12
2,3,8,12,112,111,111,54,28,35,48,9,87,74,62,23
4,7,15,15,92,82,72,21,55,49,48,12,113,113,113,50
27,34,47,9,86,74,62,23,2,2,7,12,112,111,111,54
87,74,62,23,2,3,8,12,28,35,48,9,112,111,111,54
112,111,111,54,27,35,48,9,2,3,8,12,86,74,62,24
7,11,20,18,71,59,50,15,114,115,115,44,96,90,83,21
95,87,79,21,67,57,49,14,6,10,19,17,114,114,114,46
26,35,48,9,86,74,62,24,2,3,8,12,112,111,111,53
95,88,81,21,6,10,19,17,69,58,49,15,114,114,114,45
86,74,62,24,26,35,48,9,112,111,111,53,2,3,8,12
27,36,49,9,2,3,8,12,112,112,111,53,87,74,63,24
26,35,49,9,2,3,8,12,86,74,62,24,112,111,111,53
87,74,63,24,27,36,49,9,3,3,8,12,112,112,111,53
26,35,48,9,2,3,7,12,86,74,62,24,112,112,111,53
29,37,47,10,89,77,66,26,2,3,8,13,112,113,111,50
96,88,79,24,65,57,52,14,5,9,17,18,114,115,114,43
89,77,66,26,29,38,48,10,112,113,111,49,3,3,8,13
2,3,8,13,29,38,47,10,112,113,111,49,89,77,66,26
89,77,66,26,2,3,8,13,29,38,47,10,112,113,111,48
114,115,114,42,65,58,52,14,96,88,79,23,6,10,17,18
112,112,111,48,88,76,65,26,27,37,45,10,2,2,6,13
88,76,65,26,2,2,6,13,112,112,111,48,26,37,45,10
3,3,7,14,89,77,66,26,29,40,47,11,112,112,111,47
89,77,66,26,112,112,111,47,28,40,46,11,3,3,7,14
88,76,65,26,26,39,45,11,3,3,6,14,112,112,111,47
89,76,65,26,27,40,45,11,3,3,7,14,112,112,111,47
111,112,110,47,26,40,45,11,3,3,6,14,88,76,64,26
28,43,45,12,89,77,65,26,3,3,7,15,112,112,111,46
112,112,111,45,28,44,44,12,3,3,7,15,90,77,65,26
3,3,7,15,27,44,43,12,112,112,111,46,89,77,64,26
112,112,111,46,89,76,64,25,26,43,42,12,3,3,6,15
28,45,41,11,89,77,64,25,112,112,111,47,3,3,7,15
90,77,65,25,3,3,7,15,112,113,111,47,30,45,41,11
33,46,43,11,4,4,8,16,113,113,112,47,91,78,65,25
90,77,65,25,31,42,42,10,4,3,7,15,113,113,111,47
113,113,111,47,32,44,42,10,4,4,8,16,90,77,65,25
91,78,65,24,36,47,44,10,113,113,112,47,5,5,10,17
5,6,11,17,92,79,66,24,113,113,112,47,40,49,45,10
40,49,45,10,5,6,11,17,92,79,66,24,113,113,112,48
32,42,43,10,90,77,64,24,113,113,111,49,4,4,8,15
90,77,64,24,32,42,43,9,4,4,9,15,113,113,111,50
32,42,43,9,4,4,9,15,90,77,64,24,113,113,111,50
96,85,74,22,114,114,113,46,61,57,48,12,7,9,15,18
114,114,113,48,95,82,70,23,54,54,48,11,6,8,14,17
32,39,44,9,113,113,111,51,4,4,9,13,89,76,64,25
113,113,111,51,3,4,9,13,90,77,65,25,33,39,44,9
115,115,114,45,7,9,17,17,71,60,49,15,96,89,80,21
29,35,44,8,2,3,7,11,87,74,62,24,113,112,111,54
113,112,111,54,30,35,45,8,2,3,8,11,88,74,63,24
28,34,45,8,2,3,7,11,88,74,62,24,112,112,111,54
88,73,61,24,112,112,111,54,2,3,7,11,28,34,45,8
112,112,111,54,88,73,61,24,29,35,45,8,2,3,7,11
88,73,61,24,29,35,45,8,2,3,7,11,112,112,111,54
75,59,48,15,7,10,18,16,114,115,115,45,96,90,83,22
88,73,62,24,29,35,45,8,2,3,7,11,112,112,111,54
88,73,62,25,29,35,45,8,2,3,7,11,112,112,111,54
28,34,45,8,87,72,61,24,2,3,7,11,112,111,110,55
87,72,60,24,28,34,45,8,2,3,7,11,111,111,110,55
74,59,48,15,7,10,18,16,96,89,83,21,114,115,114,45
111,111,110,55,87,72,60,24,2,3,7,11,28,34,45,8
95,88,81,21,73,58,47,15,7,10,18,16,114,114,114,46
28,34,46,8,111,111,110,55,2,3,7,11,87,72,60,24
28,34,45,8,87,72,60,24,111,111,110,55,2,3,7,11
7,10,18,16,73,58,48,15,114,114,114,45,95,89,82,21
7,10,18,16,114,115,114,44,96,90,84,22,74,59,49,16
74,59,48,16,95,89,83,21,7,10,18,16,114,114,114,45
29,35,46,8,87,72,61,24,2,3,7,11,111,111,110,54
28,34,46,8,111,111,110,54,87,72,61,24,2,3,7,11
74,59,48,16,7,10,18,16,114,114,114,45,94,89,83,21
111,111,110,55,28,34,46,8,2,2,7,11,86,72,60,24
28,34,46,8,86,71,60,24,2,2,7,11,111,111,110,55
28,34,46,8,2,2,7,11,86,71,60,24,111,111,110,55
114,114,114,44,95,90,84,21,74,59,49,17,7,10,18,16
114,114,114,44,7,10,18,16,74,59,48,17,95,89,84,21
85,71,60,24,28,34,46,8,111,111,110,55,2,3,7,11
114,114,113,45,6,9,17,16,71,57,47,16,93,87,81,21
111,111,110,55,28,34,46,8,85,71,60,24,2,3,7,11
28,34,46,8,111,111,109,55,2,3,7,11,85,71,60,24
28,34,46,8,111,110,109,55,2,3,7,11,85,70,59,24
73,58,48,17,7,10,18,16,114,114,114,43,94,89,84,22
30,36,47,8,110,110,109,54,2,3,8,11,85,71,60,24
28,34,46,8,2,3,7,11,84,70,59,24,110,110,109,55
29,35,47,9,2,3,7,11,85,70,59,24,110,110,109,54
113,113,112,45,72,57,47,16,92,87,82,21,7,10,17,16
85,70,58,23,3,3,8,12,30,36,48,9,110,110,108,55
71,56,46,16,7,10,17,16,92,87,82,22,113,113,112,44
31,36,47,9,3,3,8,12,110,111,109,52,86,72,62,25
31,36,47,9,3,3,8,12,111,111,109,52,86,72,62,25
111,111,109,51,3,3,8,12,86,72,62,25,31,36,47,9
7,9,17,17,71,57,48,17,114,114,113,42,93,88,83,22
111,111,109,52,2,3,7,12,85,71,61,25,29,34,45,9
92,87,82,22,71,57,48,17,114,114,112,43,7,9,17,17
93,89,84,22,72,58,49,17,114,114,113,42,7,9,17,17
30,34,45,9,111,111,109,52,85,71,61,25,2,3,7,12
